bar_idx,ts_ms,close,action,confidence,state,regime,ofi_z,hawkes,prob_above,prob_below
241,1701406860000,39355.3,HOLD,0.0,NORMAL,RANGING,-0.0404,0.5,0.5,0.5
242,1701406920000,39350.1,HOLD,0.0,NORMAL,RANGING,-0.0828,0.2,0.5,0.5
243,1701407040000,39313.3,HOLD,0.0,NORMAL,RANGING,-0.0389,0.6,0.5,0.5
244,1701407100000,39313.3,HOLD,0.0,NORMAL,RANGING,-0.0417,0.3,0.5,0.5
245,1701407160000,39313.3,HOLD,0.0,NORMAL,RANGING,-0.0765,0.1,0.5,0.5
246,1701407340000,39313.5,HOLD,0.0,NORMAL,RANGING,-0.0278,0.5,0.5,0.5
247,1701407400000,39334.4,HOLD,0.0,NORMAL,RANGING,0.017,1.1,0.5,0.5
248,1701407520000,39320.2,HOLD,0.0,NORMAL,RANGING,-0.429,0.5,0.5,0.5
249,1701407700000,39313.3,HOLD,0.0,NORMAL,RANGING,-0.1172,0.1,0.5,0.5
250,1701407760000,39319.0,HOLD,0.0,NORMAL,RANGING,-0.0142,0.2,0.5,0.5
252,1701407880000,39288.2,HOLD,0.0,NORMAL,RANGING,-0.0036,0.1,0.5,0.5
253,1701407940000,39284.4,HOLD,0.0,NORMAL,RANGING,-0.0141,0.4,0.5,0.5
255,1701408060000,39308.8,HOLD,0.0,NORMAL,RANGING,-2.1196,0.7,0.5,0.5
256,1701408120000,39318.7,HOLD,0.0,NORMAL,RANGING,0.0014,0.7,0.5,0.5
257,1701408180000,39300.0,HOLD,0.0,NORMAL,RANGING,-0.122,0.9,0.5,0.5
258,1701408240000,39305.0,HOLD,0.0,NORMAL,RANGING,0.0174,0.8,0.5,0.5
259,1701408300000,39321.7,HOLD,0.0,NORMAL,RANGING,2.1726,0.5,0.5,0.5
260,1701408360000,39353.5,HOLD,0.0,NORMAL,RANGING,0.0055,0.6,0.5,0.5
261,1701408420000,39356.7,HOLD,0.0,NORMAL,RANGING,0.0087,0.4,0.5,0.5
262,1701408600000,39336.1,HOLD,0.0,NORMAL,RANGING,-0.2344,0.1,0.5,0.5
263,1701408660000,39321.6,HOLD,0.0,NORMAL,RANGING,0.0295,0.3,0.5,0.5
264,1701408720000,39308.8,HOLD,0.0,NORMAL,RANGING,-0.0079,1.2,0.5,0.5
265,1701408780000,39300.0,HOLD,0.0,NORMAL,RANGING,-0.2195,0.6,0.5,0.5
266,1701408840000,39300.0,HOLD,0.0,NORMAL,RANGING,-0.0705,0.1,0.5,0.5
267,1701408900000,39288.3,HOLD,0.0,NORMAL,RANGING,-2.2675,0.6,0.5,0.5
268,1701408960000,39299.3,HOLD,0.0,NORMAL,RANGING,0.0666,0.1,0.5,0.5
269,1701409140000,39278.4,HOLD,0.0,NORMAL,RANGING,0.04,0.8,0.5,0.5
270,1701409200000,39286.8,HOLD,0.0,NORMAL,RANGING,2.6863,0.2,0.5,0.5
271,1701409380000,39290.0,HOLD,0.0,NORMAL,RANGING,2.6175,0.1,0.5,0.5
272,1701409440000,39291.2,HOLD,0.0,NORMAL,RANGING,-0.1877,0.1,0.5,0.5
